BV-Nummer;Signatur;Anzahl JPGs;Titel;Autor;Jahr;Sprache;Schrift;Tierklassen;Besonderheiten;URN;Anmerkungen
BV009519002;H62/CIM.P 38;226;˜Derœ Raupen wunderbare Verwandelung - 1;Merian, Maria Sibylla (1647-1717);1679;deutsch;Fraktur;Insekten;Entwicklungsstadien;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009519002-3;
BV009519003;H62/CIM.P 39;218;Der Raupen wunderbare Verwandelung - 2;Merian, Maria Sibylla (1647-1717);1683;deutsch;Fraktur;Insekten ;Entwicklungsstadien;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009519003-8;
BV009186104;H61/2 TREW.B 12;192;Metamorphosis Insectorum Surinamensium Ofte Verandering Der Surinaamsche Insecten;Merian, Maria Sibylla (1647-1717);1705;niederländisch;;Amphibien, Reptilien, Insekten, Spinnentiere, Wirbellose;Entwicklungsstadien, Tiere aus Südamerika;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009186104-2;
BV009328391;H61/2 TREW.C 751/753;206;Vorstellungen allerley Thiere mit ihren Gerippen - 1;Meyer, Johann Daniel (1713-1752);1756;deutsch;Fraktur;Säugetiere, Vögel, Amphibien, Reptilien, Fische;Tierskelette, Missbildungen;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009328391-9;Bindeeinheit
BV009328392;H61/2 TREW.C 751/753;202;Vorstellungen allerley Thiere mit ihren Gerippen - 2;Meyer, Johann Daniel (1713-1752);1756;deutsch;Fraktur;Säugetiere, Vögel, Reptilien, Fische;Tierskelette, Missbildungen;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009328392-5;Bindeeinheit
BV042324426;H61/2 TREW.C 751/753;86;Vorstellungen allerley Thiere mit ihren Gerippen - 3;Meyer, Johann Daniel (1713-1752);1756;deutsch;Fraktur;Säugetiere;Tiere aus Nord- und Südamerika, Afrika, Asien ;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv042324426-4;Bindeeinheit
BV008972901;H61/2 TREW.E 269;388;Ioannis Ionstoni Theatrvm Vniversale De Avibvs;Jonston, Jan (1603-1675);1756;latein;;Säugetiere, Vögel;Tiere aus aller Welt, Fabelwesen;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv008972901-1;Abb. gesammelt unter [Tabulae]
BV008972922;H61/2 TREW.E 270;284;Ioannis Ionstoni Theatrvm Vniversale Omnivm Animalivm Insectorvm;Jonston, Jan (1603-1675);1756;latein;;Insekten, Spinnentiere, Wirbellose;Entwicklungsstadien;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv008972922-7;Abb. gesammelt unter [Tabulae]
BV008944838;H61/RAR.A 51;142;Der rupsen begin, voedzel en wonderbaaere verandering;Merian, Maria Sibylla (1647-1717);1713;niederländisch;;Insekten;Entwicklungsstadien;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv008944838-9;
BV008962194;H61/2 TREW.D 496;28;Animalium, ferarum, et +& bestiarum, florum, fructuum muscarum vermiumque icones variae;Hollar, Wenzel (1607-1677);1676;latein;;Säugetiere, Vögel, Reptilien, Insekten;Tiere aus aller Welt, Fabelwesen;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv008962194-8;
BV003132717;H61/2 RAR.A 85;190;Historia Natvralis Ranarvm Nostrativm In Qva Omnes Earvm Proprietates;Rösel von Rosenhof, August Johann (1705-1759);1758;"latein ; deutsch";Fraktur;Amphibien;Fortpflanzung, Entwicklungsstadien, sezierte Tiere, Tierskelette;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv003132717-1;Kupferstiche jeweils koloriert und nicht koloriert
BV042024113;H62/MS 2363;16;[Ausgemalte Foliotafeln für ein Werk über die Eidechsen und Salamander];Rösel von Rosenhof, August Johann (1705-1759);1750;;;Amphibien, Reptilien;sezierte Tiere;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv042024113-3;
BV009474290;H61/2 TREW.B 80;254;Deliciae Naturae Selectae - 1;Knorr, Georg Wolfgang (1705-1761);1766;"latein ; deutsch";Fraktur;Insekten, Wirbellose;Korallen, Metalle;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009474290-8;
BV009474291;H61/2 TREW.B 81;282;Deliciae Naturae Selectae - 2;Knorr, Georg Wolfgang (1705-1761);1767;"latein ; deutsch";Fraktur;Säugetiere, Vögel, Amphibien, Reptilien, Fische, Spinnentiere, Wirbellose;Tiere aus aller Welt, Tierskelette;https://nbn-resolving.org/urn:nbn:de:bvb:29-bv009474291-4;
